lat,long,week1,week2,week3,week4
31.1691664528333,-103.303333171178,1,1,0.5,0.5
31.1708331195404,-103.276666503865,1,1,0.5,0.5
31.0599997835233,-103.36083317257,0.5,0.5,1,1
31.1666664527728,-103.294999837642,1,1,0.5,0.5
31.0916664509572,-103.25,0.5,0.5,1,1
31.1708331195404,-103.276666503865,1,1,0.5,0.5
31.0741662870877,-103.25,0.5,0.5,1,1
31.0599997835233,-103.36083317257,0.5,0.5,1,1
31.0274997827363,-103.379999839701,0.5,0.5,0.5,1
31.1649997860658,-103.396666506771,1,1,0.5,0.5
31.1316664519253,-103.381666506408,0.5,1,1,0.5
31.0958331177243,-103.389166506589,0.5,0.5,1,1
31.1691664528333,-103.303333171178,1,1,0.5,0.5
31.1341664519858,-103.319999838248,0.5,1,1,0.5
31.1024997845524,-103.331666505197,0.5,1,1,0.5
31.074166450533,-103.356666505802,0.5,0.5,1,1
31.2000334788622,-103.386632814969,1,0.5,0.5,0.5
31.1691664528333,-103.398333173478,1,1,0.5,0.5
31.2000128702133,-103.268320087185,1,0.5,0.5,0.5
31.1666664527728,-103.294999837642,1,1,0.5,0.5
31.1341664519858,-103.303333171178,0.5,1,1,0.5
31.1024997845524,-103.304166504531,0.5,1,1,0.5
31.0708331171189,-103.320833171601,0.5,0.5,1,1
31.0341664495644,-103.334166505258,0.5,0.5,0.5,1
31.1649997860658,-103.396666506771,1,1,0.5,0.5
31.1358331186929,-103.409999840427,0.5,1,1,0.5
31.0991664511383,-103.410833173781,0.5,0.5,1,1
31.0666664503514,-103.420833174023,0.5,0.5,1,1
31.0358331162714,-103.444166507921,0.5,0.5,0.5,1
31.0716662870272,-103.25,0.5,0.5,1,1
