lat,long,yearly_avg,spring_avg,winter_avg,summer_avg,fall_avg
31.02749978,-103.4491665,0.106849315,0.141304348,0.032608696,0.130434783,0.119565217
31.04249978,-103.4391665,0.106849315,0.141304348,0.032608696,0.130434783,0.119565217
31.05416645,-103.4299998,0.106849315,0.141304348,0.032608696,0.130434783,0.119565217
31.06749978,-103.4191665,0.106849315,0.141304348,0.032608696,0.130434783,0.119565217
31.08083312,-103.4208332,0.106849315,0.141304348,0.032608696,0.130434783,0.119565217
31.09499978,-103.4124998,0.106849315,0.141304348,0.032608696,0.130434783,0.119565217
31.11083312,-103.4116665,0.106849315,0.141304348,0.032608696,0.130434783,0.119565217
31.12666645,-103.4108332,0.106849315,0.141304348,0.032608696,0.130434783,0.119565217
31.14166645,-103.4091665,0.106849315,0.141304348,0.032608696,0.130434783,0.119565217
31.15499979,-103.4091665,0.106849315,0.141304348,0.032608696,0.130434783,0.119565217
31.16499979,-103.3966665,0.106849315,0.141304348,0.032608696,0.130434783,0.119565217
31.01249978,-103.3358332,0.109589041,0.141304348,0.043478261,0.141304348,0.108695652
31.02833312,-103.3333332,0.109589041,0.141304348,0.043478261,0.141304348,0.108695652
31.04166645,-103.3308332,0.109589041,0.141304348,0.043478261,0.141304348,0.108695652
31.05749978,-103.3266665,0.109589041,0.141304348,0.043478261,0.141304348,0.108695652
31.07249978,-103.3199998,0.109589041,0.141304348,0.043478261,0.141304348,0.108695652
31.08583312,-103.3116665,0.109589041,0.141304348,0.043478261,0.141304348,0.108695652
31.09833312,-103.3058332,0.109589041,0.141304348,0.043478261,0.141304348,0.108695652
31.10999978,-103.3091665,0.109589041,0.141304348,0.043478261,0.141304348,0.108695652
31.12416645,-103.3058332,0.109589041,0.141304348,0.043478261,0.141304348,0.108695652
31.13833312,-103.2999998,0.109589041,0.141304348,0.043478261,0.141304348,0.108695652
31.15083312,-103.2908332,0.109589041,0.141304348,0.043478261,0.141304348,0.108695652
31.16666645,-103.2949998,0.109589041,0.141304348,0.043478261,0.141304348,0.108695652
31.17083312,-103.2766665,0.090410959,0.119565217,0.010869565,0.130434783,0.097826087
31.18583312,-103.2699998,0.090410959,0.119565217,0.010869565,0.130434783,0.097826087
31.20001287,-103.2683201,0.090410959,0.119565217,0.010869565,0.130434783,0.097826087
31.17499979,-103.3983332,0.095890411,0.119565217,0.032608696,0.108695652,0.119565217
31.18583312,-103.3899998,0.095890411,0.119565217,0.032608696,0.108695652,0.119565217
31.20003348,-103.3866328,0.095890411,0.119565217,0.032608696,0.108695652,0.119565217
31.05999978,-103.3608332,0.093150685,0.119565217,0.02173913,0.119565217,0.108695652
31.07499978,-103.3549998,0.093150685,0.119565217,0.02173913,0.119565217,0.108695652
31.08666645,-103.3433332,0.093150685,0.119565217,0.02173913,0.119565217,0.108695652
31.09916645,-103.3333332,0.093150685,0.119565217,0.02173913,0.119565217,0.108695652
31.11083312,-103.3233332,0.093150685,0.119565217,0.02173913,0.119565217,0.108695652
31.12416645,-103.3199998,0.093150685,0.119565217,0.02173913,0.119565217,0.108695652
31.13999979,-103.3166665,0.093150685,0.119565217,0.02173913,0.119565217,0.108695652
31.15499979,-103.3091665,0.093150685,0.119565217,0.02173913,0.119565217,0.108695652
31.16916645,-103.3033332,0.093150685,0.119565217,0.02173913,0.119565217,0.108695652
31.07583312,-103.3891665,0.098630137,0.152173913,0.043478261,0.119565217,0.086956522
31.09166645,-103.3866665,0.098630137,0.152173913,0.043478261,0.119565217,0.086956522
31.10749978,-103.3883332,0.098630137,0.152173913,0.043478261,0.119565217,0.086956522
31.12166645,-103.3833332,0.098630137,0.152173913,0.043478261,0.119565217,0.086956522
31.13749979,-103.3808332,0.098630137,0.152173913,0.043478261,0.119565217,0.086956522
31.15249979,-103.3866665,0.098630137,0.152173913,0.043478261,0.119565217,0.086956522
31.01749978,-103.3808332,0.065753425,0.108695652,0.043478261,0.054347826,0.065217391
31.03166645,-103.3774998,0.065753425,0.108695652,0.043478261,0.054347826,0.065217391
31.04499978,-103.3699998,0.065753425,0.108695652,0.043478261,0.054347826,0.065217391
31.07416629,-103.25,0.065753425,0.086956522,0.02173913,0.076086957,0.086956522
31.16999979,-103.2899998,0.106849315,0.163043478,0.032608696,0.119565217,0.119565217
31.09166645,-103.25,0.043835616,0.043478261,0.02173913,0.043478261,0.065217391
